mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decision_function_shape,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01124577522277832,0.001366581332402961,0.004106044769287109,0.0006390886928029326,ovo,scale,linear,"{'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.9955234159779613,0.9849632690541781,0.9848771808999082,0.987345041322314,0.9800562442607897,0.9865530303030303,0.005072260670364323,1
0.015952205657958983,0.006594971642095571,0.009099435806274415,0.006527301686308635,ovo,scale,poly,"{'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.9952364554637282,0.9843319559228649,0.985393709825528,0.9876893939393939,0.9773014233241506,0.985990587695133,0.005778943042858938,5
0.009925222396850586,0.001519434759183554,0.01597733497619629,0.007410112200904468,ovo,scale,rbf,"{'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.995121671258035,0.9814623507805326,0.9851641414141414,0.987345041322314,0.9752353076216712,0.9848657024793388,0.006568841456239299,7
0.059644222259521484,0.012502818044899453,0.014118242263793945,0.002713084622213841,ovo,scale,sigmoid,"{'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5627869605142333,0.5020087235996327,0.5715392561983471,0.5628730486685032,0.571711432506887,0.5541838842975206,0.026382516073167144,13
0.016415500640869142,0.007229210756255828,0.007094287872314453,0.003229306253265827,ovo,auto,linear,"{'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'linear'}",0.9955234159779613,0.9849632690541781,0.9848771808999082,0.987345041322314,0.9800562442607897,0.9865530303030303,0.005072260670364323,1
0.7510023593902588,0.3445139975969085,0.0032668113708496094,0.00026366236257558166,ovo,auto,poly,"{'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'poly'}",0.9954086317722681,0.9816919191919192,0.9805153810835628,0.9848771808999083,0.9761535812672176,0.9837293388429753,0.00647450586340518,9
0.014258813858032227,0.006376340453366075,0.008327007293701172,0.0024899523938210037,ovo,auto,rbf,"{'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'rbf'}",0.9911616161616162,0.9505853994490358,0.9665691000918274,0.9775309917355371,0.9472279614325069,0.9666150137741047,0.016459056507574156,11
0.029494667053222658,0.013654603310804632,0.011282825469970703,0.005758723499450944,ovo,auto,sigmoid,"{'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,15
0.011373376846313477,0.000936493727811432,0.004863643646240234,0.0019015898588588063,ovr,scale,linear,"{'decision_function_shape': 'ovr', 'gamma': 'scale', 'kernel': 'linear'}",0.9955234159779613,0.9849632690541781,0.9848771808999082,0.987345041322314,0.9800562442607897,0.9865530303030303,0.005072260670364323,1
0.01357269287109375,0.0028359905718349666,0.003889656066894531,0.0007129956874125504,ovr,scale,poly,"{'decision_function_shape': 'ovr', 'gamma': 'scale', 'kernel': 'poly'}",0.9952364554637282,0.9843319559228649,0.985393709825528,0.9876893939393939,0.9773014233241506,0.985990587695133,0.005778943042858938,5
0.0067749500274658205,0.001625457178665996,0.006450128555297851,0.0012956467990786786,ovr,scale,rbf,"{'decision_function_shape': 'ovr', 'gamma': 'scale', 'kernel': 'rbf'}",0.995121671258035,0.9814623507805326,0.9851641414141414,0.987345041322314,0.9752353076216712,0.9848657024793388,0.006568841456239299,7
0.038919591903686525,0.005069222158597023,0.0107147216796875,0.001345381219529754,ovr,scale,sigmoid,"{'decision_function_shape': 'ovr', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5627869605142333,0.5020087235996327,0.5715392561983471,0.5628730486685032,0.571711432506887,0.5541838842975206,0.026382516073167144,13
0.009657812118530274,0.002052436900068751,0.0031082630157470703,0.00039599461370915044,ovr,auto,linear,"{'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'linear'}",0.9955234159779613,0.9849632690541781,0.9848771808999082,0.987345041322314,0.9800562442607897,0.9865530303030303,0.005072260670364323,1
0.7057215213775635,0.3507016995994493,0.0031250953674316407,0.0001622471346580829,ovr,auto,poly,"{'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'poly'}",0.9954086317722681,0.9816919191919192,0.9805153810835628,0.9848771808999083,0.9761535812672176,0.9837293388429753,0.00647450586340518,9
0.007567310333251953,0.0004144279114532203,0.005098104476928711,0.00048586470465305056,ovr,auto,rbf,"{'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'rbf'}",0.9911616161616162,0.9505853994490358,0.9665691000918274,0.9775309917355371,0.9472279614325069,0.9666150137741047,0.016459056507574156,11
0.018697166442871095,0.001105344126245924,0.007431793212890625,0.0009409559519402343,ovr,auto,sigmoid,"{'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,15
